ID;date;species;simp_species;simp_confidence_index;confidence_index;success;manual_check
EB506;20151008;Nyclei;Nyclei;0.1;0.072;0;Pipkuh
HC10008;20150928;Pipkuh;Pipkuh;0.1;0.078;1;Pipkuh
HB5008;20151006;Barbar;Barbar;0.1;0.082;0;Interference
HC4007;20150917;Pipkuh;Pipkuh;0.1;0.082;0;Orthoptera
HC9007;20150927;Pipkuh;Pipkuh;0.1;0.084;0;Orthoptera
HC7002;20150917;Pleaur;Plesp;0.1;0.086;0;Orthoptera
HC9002;20150917;Pipkuh;Pipkuh;0.1;0.086;0;Pippip
HB10001;20150918;Myocap;Myosp;0.1;0.088;0;Orthoptera
HC6003;20150918;Myocap;Myosp;0.1;0.088;0;Orthoptera
HC4006;20150918;Myocap;Myosp;0.1;0.088;0;Orthoptera
HC5005;20150927;Barbar;Barbar;0.1;0.088;0;Myosp
HC3004;20150917;Pleaus;Plesp;0.1;0.088;0;Orthoptera
TEA251;20150921;Pipkuh;Pipkuh;0.1;0.09;0;Eptser
HB3005;20150930;Myonat;Myosp;0.1;0.09;0;Orthoptera
HB257;20151008;Myonat;Myosp;0.1;0.09;0;Pipkuh
HC4006;20150918;Pipkuh;Pipkuh;0.1;0.092;0;Orthoptera
HB3004;20150919;Pleaus;Plesp;0.1;0.092;0;Orthoptera
HB6004;20150919;Pippip;Pippip;0.1;0.092;0;Orthoptera
HB505;20150924;Pipkuh;Pipkuh;0.1;0.094;0;Barbar
HB6008;20151009;Myodau;Myosp;0.1;0.094;0;Orthoptera
HB7003;20150924;Myoema;Myosp;0.1;0.094;0;Orthoptera
HC1008;20150926;Pleaus;Plesp;0.1;0.094;1;Plesp
HC4004;20150916;Eptser;Eptser;0.1;0.094;0;Orthoptera
HC7002;20150917;Myonat;Myosp;0.1;0.096;0;Barbar
TEA251;20150921;Pipkuh;Pipkuh;0.1;0.096;0;Eptser
HC502;20150918;Myonat;Myosp;0.1;0.096;0;Orthoptera
HB503;20150919;Nyclei;Nyclei;0.1;0.096;0;Orthoptera
EB502;20150919;Pipkuh;Pipkuh;0.1;0.096;0;Orthoptera
HC10005;20150927;Myonat;Myosp;0.1;0.096;0;Interference
HC3003;20150914;Myocap;Myosp;0.1;0.096;0;Pippip
HB10007;20151008;Myoema;Myosp;0.1;0.096;0;Pippip
HC3006;20150917;Pipkuh;Pipkuh;0.1;0.098;0;Orthoptera
EB502;20150918;Pleaus;Plesp;0.1;0.098;0;Orthoptera
HA5001;20150921;Nyclei;Nyclei;0.1;0.098;1;Nyclei
HB7003;20150923;Myodau;Myosp;0.1;0.098;0;Pippip
HB3006;20151001;Myodau;Myosp;0.1;0.098;0;Plesp
HC1006;20150917;Pleaus;Plesp;0.1;0.098;1;Plesp
TEB254;20150923;Pleaus;Plesp;0.1;0.098;1;Plesp
HB6004;20150919;Myonat;Myosp;0.1;0.1;0;Barbar
HB6003;20150913;Barbar;Barbar;0.1;0.1;0;Orthoptera
HC8006;20150927;Myocap;Myosp;0.1;0.1;0;Orthoptera
HC40010;20150928;Myonat;Myosp;0.1;0.1;0;Orthoptera
