ID;date;distforest;disturban;distwetland;x93;y93;hedgerowlength;edgetype
HA10001;20150921;368.1246673;95.85924932;511.8698315;3.763657273;67.44073966;5283.523084;edge
HA1001;20150921;336.1453737;423.4455426;1217.77901;3.756105419;67.43276031;3199.346603;edge
HA2001;20150922;1018.156987;580.9076791;1015.981048;3.56300218;67.25842556;3735.422708;edge
HA2002;20151006;68.20715034;579.2071944;1046.846008;3.522132598;68.25845527;6407.512538;edge
HA252;20151006;53.65039291;451.4685664;914.3036467;3.520985454;68.25646996;6799.901016;edge
HA501;20150922;734.7014528;736.7123407;593.2523504;3.570614677;67.24678259;3683.067962;edge
HA6001;20150921;843.2125234;172.3983519;185.6216696;3.778931088;67.39485331;4926.552232;edge
HA7001;20150921;204.8693347;98.89936494;946.0025687;3.758258615;67.44028306;4189.160985;edge
HA7002;20150922;162.0186364;666.0187038;172.3020052;3.572011153;67.23976047;2914.056059;edge
HA7003;20151006;722.8730517;282.4123269;941.3612856;3.514026988;68.25786362;6698.754514;edge
HA8001;20150921;436.0695529;152.5873582;472.7826952;3.742165602;67.43889535;4720.663362;edge
HA9002;20151006;399.6890389;152.917546;905.411429;3.534747898;68.26527897;8505.311386;edge
HB10004;20150930;819.8381806;160.7986444;645.2368953;2.604100788;68.22130702;6662.994042;edge
HB10005;20151001;661.8545435;203.3676147;828.9994566;2.356693975;68.40523304;2741.974692;edge
HB10007;20151008;1684.922106;309.5748103;106.7735651;3.973203543;66.66630198;4442.879008;edge
HB1003;20150908;184.8533796;304.3579084;444.795691;4.137065722;66.8338682;1774.452727;edge
HB1005;20150929;378.0288409;91.09695195;291.9700999;3.052017908;67.94833763;2646.948484;edge
HB1006;20150930;687.9131733;297.5791381;847.9103547;2.613848228;68.22338109;3773.094615;edge
HB1007;20151001;432.8193395;211.920707;341.546672;2.341524717;68.39177464;4197.824726;edge
HB2001;20150907;1571.930668;373.241494;806.9319325;4.039055661;66.94014831;2428.555573;edge
HB2002;20150908;143.5689602;344.0772197;340.986803;4.139066845;66.83415408;2803.181832;edge
HB2005;20150923;895.8742964;358.1611382;203.8545936;2.699499478;67.82254783;3901.59583;edge
HB2006;20150929;362.8786556;149.3673898;1509.578733;2.833731796;67.94112936;3421.3325;edge
HB2007;20150930;411.6047523;205.8503552;817.5259453;2.612247485;68.22072195;4089.387172;edge
HB254;20150929;499.0980343;376.4426974;1568.732102;2.834553532;67.93872988;4894.38146;edge
HB255;20151001;411.0775959;175.9177162;775.4806798;2.36165562;68.36478059;1624.696542;edge
HB3001;20150907;1604.322423;319.3330007;188.2596802;4.04474429;66.93754727;3576.492512;edge
HB3002;20150908;1856.8772;156.7720357;517.7183765;4.043426693;66.9418762;3105.794621;edge
HB3003;20150908;605.3377601;449.4765413;220.3848517;4.054523147;66.93377391;3105.083422;edge
HB3005;20150929;467.644945;154.586144;1359.351252;2.832443313;67.93778982;4294.1043;edge
HB3006;20151001;616.4113413;298.1973165;295.1037446;2.339684027;68.38997011;4307.209578;edge
HB3007;20151005;103.8175854;240.281168;1644.409681;2.938466235;68.3950657;3959.425008;edge
HB3008;20151008;965.6403633;184.9422385;442.6051157;3.96565507;66.66746227;5711.654353;edge
HB4001;20150907;610.6964641;579.5915316;464.3366688;4.043055993;66.91990703;1415.971926;edge
HB4003;20150912;583.4179544;151.4580328;160.4621783;4.2293318;66.77432914;4152.222706;edge
HB4004;20150929;863.6041717;136.5949221;266.0793299;3.048928178;67.95314314;3498.56947;edge
HB4005;20150930;223.6324347;409.8474147;903.490667;2.621015415;68.22993197;4636.735486;edge
HB4008;20151008;748.9335012;56.42331519;261.2561907;3.964452048;66.6696711;6321.11112;edge
HB5001;20150907;1643.006759;224.5411829;193.8008872;4.04700145;66.94745756;3862.814336;edge
HB5003;20150918;774.7838531;389.3099845;926.9539778;3.814241711;67.19383389;4290.611846;edge
